ctime,relname,pid,mode,granted
1415769400.92254,customer,42174,RowExclusiveLock,t
1415769400.92254,lineitem,42179,RowExclusiveLock,t
1415769400.92254,orders,42173,RowExclusiveLock,t
1415769400.92254,part,42172,RowExclusiveLock,t
1415769400.92254,partsupp,42171,RowExclusiveLock,t
1415769400.92254,pg_locks,42205,AccessShareLock,t
1415769400.92254,pg_stat_all_indexes,42207,AccessShareLock,t
1415769400.92254,pg_stat_all_tables,42206,AccessShareLock,t
1415769400.92254,pg_stat_database,42204,AccessShareLock,t
1415769400.92254,pg_statio_all_indexes,42207,AccessShareLock,t
1415769400.92254,pg_statio_all_tables,42206,AccessShareLock,t
1415769400.92254,supplier,42175,RowExclusiveLock,t
1415769460.9247,lineitem,42179,RowExclusiveLock,t
1415769460.9247,orders,42173,RowExclusiveLock,t
1415769460.9247,pg_locks,42258,AccessShareLock,t
1415769460.9247,pg_stat_activity,42259,AccessShareLock,t
1415769460.9247,pg_stat_all_indexes,42262,AccessShareLock,t
1415769460.9247,pg_stat_all_tables,42261,AccessShareLock,t
1415769460.9247,pg_stat_database,42260,AccessShareLock,t
1415769460.9247,pg_statio_all_indexes,42262,AccessShareLock,t
1415769460.9247,pg_statio_all_tables,42261,AccessShareLock,t
1415769520.92878,lineitem,42179,RowExclusiveLock,t
1415769520.92878,orders,42271,ShareLock,t
1415769520.92878,pg_locks,42282,AccessShareLock,t
1415769520.92878,pg_stat_all_indexes,42284,AccessShareLock,t
1415769520.92878,pg_stat_all_tables,42281,AccessShareLock,t
1415769520.92878,pg_stat_database,42283,AccessShareLock,t
1415769520.92878,pg_statio_all_indexes,42284,AccessShareLock,t
1415769520.92878,pg_statio_all_tables,42281,AccessShareLock,t
1415769580.93909,lineitem,42179,RowExclusiveLock,t
1415769580.93909,pg_locks,42299,AccessShareLock,t
1415769580.93909,pg_stat_all_indexes,42297,AccessShareLock,t
1415769580.93909,pg_stat_all_tables,42298,AccessShareLock,t
1415769580.93909,pg_stat_database,42295,AccessShareLock,t
1415769580.93909,pg_statio_all_indexes,42297,AccessShareLock,t
1415769580.93909,pg_statio_all_tables,42298,AccessShareLock,t
1415769640.93743,lineitem,42179,RowExclusiveLock,t
1415769640.93743,pg_locks,42311,AccessShareLock,t
1415769640.93743,pg_stat_activity,42312,AccessShareLock,t
1415769640.93743,pg_stat_all_indexes,42313,AccessShareLock,t
1415769640.93743,pg_stat_database,42314,AccessShareLock,t
1415769640.93743,pg_statio_all_tables,42315,AccessShareLock,t
1415769700.94152,lineitem,42329,ShareLock,f
1415769700.94152,lineitem,42326,ShareLock,t
1415769700.94152,lineitem,42328,ShareLock,t
1415769700.94152,lineitem,42325,ShareLock,t
1415769700.94152,lineitem,42327,ShareLock,t
1415769700.94152,lineitem,42331,ShareLock,t
1415769700.94152,lineitem,42330,ShareLock,t
1415769700.94152,lineitem,42332,AccessExclusiveLock,f
1415769700.94152,pg_locks,42344,AccessShareLock,t
1415769700.94152,pg_stat_activity,42345,AccessShareLock,t
1415769700.94152,pg_stat_all_indexes,42342,AccessShareLock,t
1415769700.94152,pg_stat_all_tables,42341,AccessShareLock,t
1415769700.94152,pg_statio_all_indexes,42342,AccessShareLock,t
1415769700.94152,pg_statio_all_tables,42341,AccessShareLock,t
1415769760.94296,lineitem,42329,ShareLock,f
1415769760.94296,lineitem,42332,AccessExclusiveLock,f
1415769760.94296,lineitem,42326,ShareLock,t
1415769760.94296,lineitem,42328,ShareLock,t
1415769760.94296,lineitem,42325,ShareLock,t
1415769760.94296,lineitem,42327,ShareLock,t
1415769760.94296,pg_locks,42355,AccessShareLock,t
1415769760.94296,pg_stat_all_indexes,42359,AccessShareLock,t
1415769760.94296,pg_stat_all_tables,42356,AccessShareLock,t
1415769760.94296,pg_stat_database,42357,AccessShareLock,t
1415769760.94296,pg_statio_all_tables,42356,AccessShareLock,t
1415769820.95128,lineitem,42332,AccessExclusiveLock,f
1415769820.95128,lineitem,42329,ShareLock,f
