Linux 3.11.0-17-generic (axle) 	12/11/14 	_x86_64_	(64 CPU)

05:28:22        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:29:22        all      1.38      0.00      0.20      0.00      0.00     98.42
05:30:22        all      1.57      0.00      0.01      0.00      0.00     98.42
05:31:22        all      1.56      0.00      0.01      0.00      0.00     98.43
05:32:22        all      1.51      0.00      0.07      0.00      0.00     98.43
05:33:22        all      1.33      0.00      0.27      0.01      0.00     98.39
05:34:22        all      1.47      0.00      0.13      0.00      0.00     98.40
05:35:22        all      1.47      0.00      0.13      0.00      0.00     98.40
05:36:22        all      1.47      0.00      0.13      0.00      0.00     98.40
05:37:22        all      1.47      0.00      0.12      0.00      0.00     98.40
05:38:22        all      1.51      0.00      0.07      0.00      0.00     98.42
05:39:22        all      1.47      0.00      0.11      0.00      0.00     98.42
05:40:22        all      1.34      0.00      0.24      0.00      0.00     98.42
05:41:22        all      1.45      0.00      0.13      0.00      0.00     98.42
05:42:22        all      1.36      0.00      0.21      0.00      0.00     98.42
05:43:22        all      1.38      0.00      0.20      0.00      0.00     98.42
05:44:22        all      1.48      0.00      0.10      0.00      0.00     98.43
05:45:22        all      1.43      0.00      0.15      0.00      0.00     98.42
05:46:22        all      1.24      0.00      0.34      0.00      0.00     98.42
