Linux 3.11.0-17-generic (axle) 	12/11/14 	_x86_64_	(64 CPU)

05:46:39        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:47:39        all     29.69      0.00      2.64      0.03      0.00     67.64
05:48:39        all     29.86      0.00      3.02      0.04      0.00     67.08
05:49:39        all     30.29      0.00      2.63      0.02      0.00     67.06
05:50:39        all     30.56      0.00      2.31      0.02      0.00     67.11
05:51:39        all     30.41      0.00      2.39      0.03      0.00     67.18
05:52:39        all     30.31      0.00      2.62      0.03      0.00     67.04
05:53:39        all     30.67      0.00      2.25      0.03      0.00     67.05
05:54:39        all     30.87      0.00      2.11      0.04      0.00     66.99
05:55:39        all     30.02      0.00      2.56      0.07      0.00     67.36
05:56:39        all     30.63      0.00      2.33      0.04      0.00     67.01
05:57:39        all     30.31      0.00      2.63      0.03      0.00     67.04
05:58:39        all     29.74      0.00      3.05      0.06      0.00     67.14
05:59:39        all     30.20      0.00      2.70      0.03      0.00     67.07
06:00:39        all     30.13      0.00      2.52      0.06      0.00     67.28
06:01:39        all     29.77      0.00      2.59      0.02      0.00     67.62
