Linux 3.11.0-17-generic (axle) 	12/11/14 	_x86_64_	(64 CPU)

05:16:38        CPU     %user     %nice   %system   %iowait    %steal     %idle
05:17:38        all      4.08      0.00      0.64      1.81      0.00     93.46
05:18:38        all      2.33      0.00      0.32      0.57      0.00     96.78
05:19:38        all      1.61      0.00      0.22      0.07      0.00     98.09
05:20:38        all      1.38      0.00      0.21      0.06      0.00     98.35
05:21:38        all      1.41      0.00      0.22      0.05      0.00     98.31
05:22:38        all      8.28      0.00      0.60      0.14      0.00     90.98
05:23:38        all      4.52      0.00      0.25      0.15      0.00     95.09
05:24:38        all      1.67      0.00      0.05      0.03      0.00     98.26
05:25:38        all      1.55      0.00      0.03      0.00      0.00     98.42
05:26:38        all      1.49      0.00      0.09      0.01      0.00     98.41
05:27:38        all      1.26      0.00      0.29      0.03      0.00     98.42
